"Town","FIPS","Year","Business Type","Measure Type","Variable","Value"
"Madison","0900944560","2010-2014","Private, Not-for-profit","Percent","Employment",14.7
"Madison","0900944560","2010-2014","Private, Not-for-profit","Percent","Margins of Error",2.5
"Madison","0900944560","2011-2015","Total","Number","Employment",8433
"Madison","0900944560","2011-2015","Total","Number","Margins of Error",404
"Madison","0900944560","2011-2015","Self-Employed, Incorporated","Percent","Employment",8.3
"Madison","0900944560","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",2.2
"Madison","0900944560","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",6.7
"Madison","0900944560","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Madison","0900944560","2011-2015","Government","Percent","Employment",13.2
"Madison","0900944560","2011-2015","Government","Percent","Margins of Error",2.7
"Madison","0900944560","2011-2015","Private, Profit","Percent","Employment",57.7
"Madison","0900944560","2011-2015","Private, Profit","Percent","Margins of Error",3.9
"Madison","0900944560","2011-2015","Private, Not-for-profit","Percent","Employment",14.1
"Madison","0900944560","2011-2015","Private, Not-for-profit","Percent","Margins of Error",2.4
"Madison","0900944560","2012-2016","Total","Number","Employment",8594
"Madison","0900944560","2012-2016","Total","Number","Margins of Error",382
"Madison","0900944560","2012-2016","Self-Employed, Incorporated","Percent","Employment",6.8
"Madison","0900944560","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",1.9
"Madison","0900944560","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",6.6
"Madison","0900944560","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Madison","0900944560","2012-2016","Government","Percent","Employment",14.8
"Madison","0900944560","2012-2016","Government","Percent","Margins of Error",2.7
"Madison","0900944560","2012-2016","Private, Profit","Percent","Employment",58.4
"Madison","0900944560","2012-2016","Private, Profit","Percent","Margins of Error",4
"Madison","0900944560","2012-2016","Private, Not-for-profit","Percent","Employment",13.4
"Madison","0900944560","2012-2016","Private, Not-for-profit","Percent","Margins of Error",2.2
"Manchester","0900344700","2006-2010","Total","Number","Employment",31852
"Manchester","0900344700","2006-2010","Total","Number","Margins of Error",680
"Manchester","0900344700","2006-2010","Self-Employed, Incorporated","Percent","Employment",2.4
"Manchester","0900344700","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",0.6
"Manchester","0900344700","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",4.4
"Manchester","0900344700","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",0.7
"Manchester","0900344700","2006-2010","Government","Percent","Employment",14.2
"Manchester","0900344700","2006-2010","Government","Percent","Margins of Error",1.6
"Manchester","0900344700","2006-2010","Private, Profit","Percent","Employment",71
"Manchester","0900344700","2006-2010","Private, Profit","Percent","Margins of Error",2.1
"Manchester","0900344700","2006-2010","Private, Not-for-profit","Percent","Employment",8
"Manchester","0900344700","2006-2010","Private, Not-for-profit","Percent","Margins of Error",1.3
"Manchester","0900344700","2007-2011","Total","Number","Employment",31425
"Manchester","0900344700","2007-2011","Total","Number","Margins of Error",739
"Manchester","0900344700","2007-2011","Self-Employed, Incorporated","Percent","Employment",2.3
"Manchester","0900344700","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",0.6
"Manchester","0900344700","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",4.3
"Manchester","0900344700","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",0.8
"Manchester","0900344700","2007-2011","Government","Percent","Employment",14.3
"Manchester","0900344700","2007-2011","Government","Percent","Margins of Error",1.6
"Manchester","0900344700","2007-2011","Private, Profit","Percent","Employment",71.2
"Manchester","0900344700","2007-2011","Private, Profit","Percent","Margins of Error",2
"Manchester","0900344700","2007-2011","Private, Not-for-profit","Percent","Employment",8
"Manchester","0900344700","2007-2011","Private, Not-for-profit","Percent","Margins of Error",1.2
"Manchester","0900344700","2008-2012","Total","Number","Employment",31417
"Manchester","0900344700","2008-2012","Total","Number","Margins of Error",721
"Manchester","0900344700","2008-2012","Self-Employed, Incorporated","Percent","Employment",2.1
"Manchester","0900344700","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",0.6
"Manchester","0900344700","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",4.2
"Manchester","0900344700","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",0.7
"Manchester","0900344700","2008-2012","Government","Percent","Employment",13.7
"Manchester","0900344700","2008-2012","Government","Percent","Margins of Error",1.3
"Manchester","0900344700","2008-2012","Private, Profit","Percent","Employment",71.4
"Manchester","0900344700","2008-2012","Private, Profit","Percent","Margins of Error",1.6
"Manchester","0900344700","2008-2012","Private, Not-for-profit","Percent","Employment",8.7
"Manchester","0900344700","2008-2012","Private, Not-for-profit","Percent","Margins of Error",1
"Manchester","0900344700","2009-2013","Total","Number","Employment",30321
"Manchester","0900344700","2009-2013","Total","Number","Margins of Error",748
"Manchester","0900344700","2009-2013","Self-Employed, Incorporated","Percent","Employment",2.2
"Manchester","0900344700","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",0.6
"Manchester","0900344700","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",3.8
"Manchester","0900344700","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",0.7
"Manchester","0900344700","2009-2013","Government","Percent","Employment",14.6
"Manchester","0900344700","2009-2013","Government","Percent","Margins of Error",1.5
"Manchester","0900344700","2009-2013","Private, Profit","Percent","Employment",71.7
"Manchester","0900344700","2009-2013","Private, Profit","Percent","Margins of Error",1.8
"Manchester","0900344700","2009-2013","Private, Not-for-profit","Percent","Employment",7.8
"Manchester","0900344700","2009-2013","Private, Not-for-profit","Percent","Margins of Error",1.1
"Manchester","0900344700","2010-2014","Total","Number","Employment",29864
"Manchester","0900344700","2010-2014","Total","Number","Margins of Error",802
"Manchester","0900344700","2010-2014","Self-Employed, Incorporated","Percent","Employment",2.1
"Manchester","0900344700","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",0.5
"Manchester","0900344700","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",3.3
"Manchester","0900344700","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",0.6
"Manchester","0900344700","2010-2014","Government","Percent","Employment",15.3
"Manchester","0900344700","2010-2014","Government","Percent","Margins of Error",1.4
"Manchester","0900344700","2010-2014","Private, Profit","Percent","Employment",70.8
"Manchester","0900344700","2010-2014","Private, Profit","Percent","Margins of Error",1.7
"Manchester","0900344700","2010-2014","Private, Not-for-profit","Percent","Employment",8.6
"Manchester","0900344700","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1
"Manchester","0900344700","2011-2015","Total","Number","Employment",30035
"Manchester","0900344700","2011-2015","Total","Number","Margins of Error",807
"Manchester","0900344700","2011-2015","Self-Employed, Incorporated","Percent","Employment",1.7
"Manchester","0900344700","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Manchester","0900344700","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",3.4
"Manchester","0900344700","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",0.7
"Manchester","0900344700","2011-2015","Government","Percent","Employment",14.5
"Manchester","0900344700","2011-2015","Government","Percent","Margins of Error",1.6
"Manchester","0900344700","2011-2015","Private, Profit","Percent","Employment",71.2
"Manchester","0900344700","2011-2015","Private, Profit","Percent","Margins of Error",2
"Manchester","0900344700","2011-2015","Private, Not-for-profit","Percent","Employment",9.3
"Manchester","0900344700","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.2
"Manchester","0900344700","2012-2016","Total","Number","Employment",29857
"Manchester","0900344700","2012-2016","Total","Number","Margins of Error",801
"Manchester","0900344700","2012-2016","Self-Employed, Incorporated","Percent","Employment",1.8
"Manchester","0900344700","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Manchester","0900344700","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",3.3
"Manchester","0900344700","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",0.6
"Manchester","0900344700","2012-2016","Government","Percent","Employment",14.1
"Manchester","0900344700","2012-2016","Government","Percent","Margins of Error",1.3
"Manchester","0900344700","2012-2016","Private, Profit","Percent","Employment",72.3
"Manchester","0900344700","2012-2016","Private, Profit","Percent","Margins of Error",1.7
"Manchester","0900344700","2012-2016","Private, Not-for-profit","Percent","Employment",8.5
"Manchester","0900344700","2012-2016","Private, Not-for-profit","Percent","Margins of Error",1.1
"Mansfield","0901344910","2006-2010","Total","Number","Employment",11831
"Mansfield","0901344910","2006-2010","Total","Number","Margins of Error",579
"Mansfield","0901344910","2006-2010","Self-Employed, Incorporated","Percent","Employment",0.7
"Mansfield","0901344910","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",0.5
"Mansfield","0901344910","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",5.3
"Mansfield","0901344910","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Mansfield","0901344910","2006-2010","Government","Percent","Employment",48.4
"Mansfield","0901344910","2006-2010","Government","Percent","Margins of Error",3.6
"Mansfield","0901344910","2006-2010","Private, Profit","Percent","Employment",37.6
"Mansfield","0901344910","2006-2010","Private, Profit","Percent","Margins of Error",3.6
"Mansfield","0901344910","2006-2010","Private, Not-for-profit","Percent","Employment",7.9
"Mansfield","0901344910","2006-2010","Private, Not-for-profit","Percent","Margins of Error",2.1
"Mansfield","0901344910","2007-2011","Total","Number","Employment",12461
"Mansfield","0901344910","2007-2011","Total","Number","Margins of Error",613
"Mansfield","0901344910","2007-2011","Self-Employed, Incorporated","Percent","Employment",0.9
"Mansfield","0901344910","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",0.7
"Mansfield","0901344910","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",5.5
"Mansfield","0901344910","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.8
"Mansfield","0901344910","2007-2011","Government","Percent","Employment",44.9
"Mansfield","0901344910","2007-2011","Government","Percent","Margins of Error",3.4
"Mansfield","0901344910","2007-2011","Private, Profit","Percent","Employment",39.8
"Mansfield","0901344910","2007-2011","Private, Profit","Percent","Margins of Error",3.8
"Mansfield","0901344910","2007-2011","Private, Not-for-profit","Percent","Employment",8.8
"Mansfield","0901344910","2007-2011","Private, Not-for-profit","Percent","Margins of Error",2.5
"Mansfield","0901344910","2008-2012","Total","Number","Employment",11656
"Mansfield","0901344910","2008-2012","Total","Number","Margins of Error",544
"Mansfield","0901344910","2008-2012","Self-Employed, Incorporated","Percent","Employment",1.7
"Mansfield","0901344910","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",0.9
"Mansfield","0901344910","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",5.9
"Mansfield","0901344910","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",2.2
"Mansfield","0901344910","2008-2012","Government","Percent","Employment",47.8
"Mansfield","0901344910","2008-2012","Government","Percent","Margins of Error",4
"Mansfield","0901344910","2008-2012","Private, Profit","Percent","Employment",36.1
"Mansfield","0901344910","2008-2012","Private, Profit","Percent","Margins of Error",3.9
"Mansfield","0901344910","2008-2012","Private, Not-for-profit","Percent","Employment",8.5
"Mansfield","0901344910","2008-2012","Private, Not-for-profit","Percent","Margins of Error",2.2
"Mansfield","0901344910","2009-2013","Total","Number","Employment",11814
"Mansfield","0901344910","2009-2013","Total","Number","Margins of Error",632
"Mansfield","0901344910","2009-2013","Self-Employed, Incorporated","Percent","Employment",2.2
"Mansfield","0901344910","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",1.1
"Mansfield","0901344910","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",5.3
"Mansfield","0901344910","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Mansfield","0901344910","2009-2013","Government","Percent","Employment",45.9
"Mansfield","0901344910","2009-2013","Government","Percent","Margins of Error",3.5
"Mansfield","0901344910","2009-2013","Private, Profit","Percent","Employment",38.7
"Mansfield","0901344910","2009-2013","Private, Profit","Percent","Margins of Error",3.3
"Mansfield","0901344910","2009-2013","Private, Not-for-profit","Percent","Employment",7.9
"Mansfield","0901344910","2009-2013","Private, Not-for-profit","Percent","Margins of Error",1.7
"Mansfield","0901344910","2010-2014","Total","Number","Employment",12355
"Mansfield","0901344910","2010-2014","Total","Number","Margins of Error",580
"Mansfield","0901344910","2010-2014","Self-Employed, Incorporated","Percent","Employment",2.4
"Mansfield","0901344910","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",1.3
"Mansfield","0901344910","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",4.2
"Mansfield","0901344910","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",1.2
"Mansfield","0901344910","2010-2014","Government","Percent","Employment",45.3
"Mansfield","0901344910","2010-2014","Government","Percent","Margins of Error",3
"Mansfield","0901344910","2010-2014","Private, Profit","Percent","Employment",39.6
"Mansfield","0901344910","2010-2014","Private, Profit","Percent","Margins of Error",2.8
"Mansfield","0901344910","2010-2014","Private, Not-for-profit","Percent","Employment",8.5
"Mansfield","0901344910","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1.5
"Mansfield","0901344910","2011-2015","Total","Number","Employment",12857
"Mansfield","0901344910","2011-2015","Total","Number","Margins of Error",720
"Mansfield","0901344910","2011-2015","Self-Employed, Incorporated","Percent","Employment",2.3
"Mansfield","0901344910","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.1
"Mansfield","0901344910","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",4.3
"Mansfield","0901344910","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1.4
"Mansfield","0901344910","2011-2015","Government","Percent","Employment",42.3
"Mansfield","0901344910","2011-2015","Government","Percent","Margins of Error",2.9
"Mansfield","0901344910","2011-2015","Private, Profit","Percent","Employment",42.6
"Mansfield","0901344910","2011-2015","Private, Profit","Percent","Margins of Error",2.8
"Mansfield","0901344910","2011-2015","Private, Not-for-profit","Percent","Employment",8.5
"Mansfield","0901344910","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.6
"Mansfield","0901344910","2012-2016","Total","Number","Employment",13017
"Mansfield","0901344910","2012-2016","Total","Number","Margins of Error",616
"Mansfield","0901344910","2012-2016","Self-Employed, Incorporated","Percent","Employment",2
"Mansfield","0901344910","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",1
"Mansfield","0901344910","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",4.3
"Mansfield","0901344910","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1.3
"Mansfield","0901344910","2012-2016","Government","Percent","Employment",38.9
"Mansfield","0901344910","2012-2016","Government","Percent","Margins of Error",3.4
"Mansfield","0901344910","2012-2016","Private, Profit","Percent","Employment",45.5
"Mansfield","0901344910","2012-2016","Private, Profit","Percent","Margins of Error",3.2
"Mansfield","0901344910","2012-2016","Private, Not-for-profit","Percent","Employment",9.3
"Mansfield","0901344910","2012-2016","Private, Not-for-profit","Percent","Margins of Error",1.5
"Marlborough","0900345820","2006-2010","Total","Number","Employment",3338
"Marlborough","0900345820","2006-2010","Total","Number","Margins of Error",190
"Marlborough","0900345820","2006-2010","Self-Employed, Incorporated","Percent","Employment",4.6
"Marlborough","0900345820","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",2.4
"Marlborough","0900345820","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",9
"Marlborough","0900345820","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",3.7
"Marlborough","0900345820","2006-2010","Government","Percent","Employment",15.1
"Marlborough","0900345820","2006-2010","Government","Percent","Margins of Error",4.5
"Marlborough","0900345820","2006-2010","Private, Profit","Percent","Employment",59
"Marlborough","0900345820","2006-2010","Private, Profit","Percent","Margins of Error",5.5
"Marlborough","0900345820","2006-2010","Private, Not-for-profit","Percent","Employment",12.2
"Marlborough","0900345820","2006-2010","Private, Not-for-profit","Percent","Margins of Error",3.9
"Marlborough","0900345820","2007-2011","Total","Number","Employment",3384
"Marlborough","0900345820","2007-2011","Total","Number","Margins of Error",206
"Marlborough","0900345820","2007-2011","Self-Employed, Incorporated","Percent","Employment",4
"Marlborough","0900345820","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",1.9
"Marlborough","0900345820","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",7.5
"Marlborough","0900345820","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",3.3
"Marlborough","0900345820","2007-2011","Government","Percent","Employment",17.6
"Marlborough","0900345820","2007-2011","Government","Percent","Margins of Error",4.1
"Marlborough","0900345820","2007-2011","Private, Profit","Percent","Employment",62.1
"Marlborough","0900345820","2007-2011","Private, Profit","Percent","Margins of Error",5.3
"Marlborough","0900345820","2007-2011","Private, Not-for-profit","Percent","Employment",8.9
"Marlborough","0900345820","2007-2011","Private, Not-for-profit","Percent","Margins of Error",3.7
"Marlborough","0900345820","2008-2012","Total","Number","Employment",3391
"Marlborough","0900345820","2008-2012","Total","Number","Margins of Error",198
"Marlborough","0900345820","2008-2012","Self-Employed, Incorporated","Percent","Employment",3.9
"Marlborough","0900345820","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",2.2
"Marlborough","0900345820","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",7
"Marlborough","0900345820","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",3.4
"Marlborough","0900345820","2008-2012","Government","Percent","Employment",13.5
"Marlborough","0900345820","2008-2012","Government","Percent","Margins of Error",3.9
"Marlborough","0900345820","2008-2012","Private, Profit","Percent","Employment",66
"Marlborough","0900345820","2008-2012","Private, Profit","Percent","Margins of Error",5.2
"Marlborough","0900345820","2008-2012","Private, Not-for-profit","Percent","Employment",9.6
"Marlborough","0900345820","2008-2012","Private, Not-for-profit","Percent","Margins of Error",3.7
"Marlborough","0900345820","2009-2013","Total","Number","Employment",3330
"Marlborough","0900345820","2009-2013","Total","Number","Margins of Error",198
"Marlborough","0900345820","2009-2013","Self-Employed, Incorporated","Percent","Employment",3.1
"Marlborough","0900345820","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",2.1
"Marlborough","0900345820","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",7.9
"Marlborough","0900345820","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",3.3
"Marlborough","0900345820","2009-2013","Government","Percent","Employment",13.9
"Marlborough","0900345820","2009-2013","Government","Percent","Margins of Error",4.3
"Marlborough","0900345820","2009-2013","Private, Profit","Percent","Employment",66.7
"Marlborough","0900345820","2009-2013","Private, Profit","Percent","Margins of Error",5.5
"Marlborough","0900345820","2009-2013","Private, Not-for-profit","Percent","Employment",8.4
"Marlborough","0900345820","2009-2013","Private, Not-for-profit","Percent","Margins of Error",3.4
"Marlborough","0900345820","2010-2014","Total","Number","Employment",3227
"Marlborough","0900345820","2010-2014","Total","Number","Margins of Error",203
"Marlborough","0900345820","2010-2014","Self-Employed, Incorporated","Percent","Employment",3.7
"Marlborough","0900345820","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",2
"Marlborough","0900345820","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",7.6
"Marlborough","0900345820","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",2.8
"Marlborough","0900345820","2010-2014","Government","Percent","Employment",16.2
"Marlborough","0900345820","2010-2014","Government","Percent","Margins of Error",5.7
"Marlborough","0900345820","2010-2014","Private, Profit","Percent","Employment",64.5
"Marlborough","0900345820","2010-2014","Private, Profit","Percent","Margins of Error",6.3
"Marlborough","0900345820","2010-2014","Private, Not-for-profit","Percent","Employment",8.1
"Marlborough","0900345820","2010-2014","Private, Not-for-profit","Percent","Margins of Error",2.9
"Marlborough","0900345820","2011-2015","Total","Number","Employment",3334
"Marlborough","0900345820","2011-2015","Total","Number","Margins of Error",185
"Marlborough","0900345820","2011-2015","Self-Employed, Incorporated","Percent","Employment",2.8
"Marlborough","0900345820","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.8
"Marlborough","0900345820","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",9.1
"Marlborough","0900345820","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",4
"Marlborough","0900345820","2011-2015","Government","Percent","Employment",14.1
"Marlborough","0900345820","2011-2015","Government","Percent","Margins of Error",5.2
"Marlborough","0900345820","2011-2015","Private, Profit","Percent","Employment",69.7
"Marlborough","0900345820","2011-2015","Private, Profit","Percent","Margins of Error",6.3
"Marlborough","0900345820","2011-2015","Private, Not-for-profit","Percent","Employment",4.3
"Marlborough","0900345820","2011-2015","Private, Not-for-profit","Percent","Margins of Error",2.1
"Marlborough","0900345820","2012-2016","Total","Number","Employment",3446
"Marlborough","0900345820","2012-2016","Total","Number","Margins of Error",222
"Marlborough","0900345820","2012-2016","Self-Employed, Incorporated","Percent","Employment",3.6
"Marlborough","0900345820","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",2.1
"Marlborough","0900345820","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",10.7
"Marlborough","0900345820","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",4.2
"Marlborough","0900345820","2012-2016","Government","Percent","Employment",14.7
"Marlborough","0900345820","2012-2016","Government","Percent","Margins of Error",5.5
"Marlborough","0900345820","2012-2016","Private, Profit","Percent","Employment",65
"Marlborough","0900345820","2012-2016","Private, Profit","Percent","Margins of Error",6.5
"Marlborough","0900345820","2012-2016","Private, Not-for-profit","Percent","Employment",6.1
"Marlborough","0900345820","2012-2016","Private, Not-for-profit","Percent","Margins of Error",2.2
"Meriden","0900946520","2006-2010","Total","Number","Employment",30113
"Meriden","0900946520","2006-2010","Total","Number","Margins of Error",763
"Meriden","0900946520","2006-2010","Self-Employed, Incorporated","Percent","Employment",1.7
"Meriden","0900946520","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",0.5
"Meriden","0900946520","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",4.6
"Meriden","0900946520","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",0.9
"Meriden","0900946520","2006-2010","Government","Percent","Employment",12.3
"Meriden","0900946520","2006-2010","Government","Percent","Margins of Error",1.3
"Meriden","0900946520","2006-2010","Private, Profit","Percent","Employment",73.4
"Meriden","0900946520","2006-2010","Private, Profit","Percent","Margins of Error",2
"Meriden","0900946520","2006-2010","Private, Not-for-profit","Percent","Employment",8
"Meriden","0900946520","2006-2010","Private, Not-for-profit","Percent","Margins of Error",1.2
"Meriden","0900946520","2007-2011","Total","Number","Employment",29344
"Meriden","0900946520","2007-2011","Total","Number","Margins of Error",901
"Meriden","0900946520","2007-2011","Self-Employed, Incorporated","Percent","Employment",1.6
"Meriden","0900946520","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",0.5
"Meriden","0900946520","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",5
"Meriden","0900946520","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",0.9
"Meriden","0900946520","2007-2011","Government","Percent","Employment",12.2
"Meriden","0900946520","2007-2011","Government","Percent","Margins of Error",1.3
"Meriden","0900946520","2007-2011","Private, Profit","Percent","Employment",73.5
"Meriden","0900946520","2007-2011","Private, Profit","Percent","Margins of Error",1.8
"Meriden","0900946520","2007-2011","Private, Not-for-profit","Percent","Employment",7.6
"Meriden","0900946520","2007-2011","Private, Not-for-profit","Percent","Margins of Error",1
"Meriden","0900946520","2008-2012","Total","Number","Employment",29249
"Meriden","0900946520","2008-2012","Total","Number","Margins of Error",810
"Meriden","0900946520","2008-2012","Self-Employed, Incorporated","Percent","Employment",1.2
"Meriden","0900946520","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Meriden","0900946520","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",5
"Meriden","0900946520","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",0.9
"Meriden","0900946520","2008-2012","Government","Percent","Employment",11.9
"Meriden","0900946520","2008-2012","Government","Percent","Margins of Error",1.5
"Meriden","0900946520","2008-2012","Private, Profit","Percent","Employment",73
"Meriden","0900946520","2008-2012","Private, Profit","Percent","Margins of Error",1.9
"Meriden","0900946520","2008-2012","Private, Not-for-profit","Percent","Employment",9
"Meriden","0900946520","2008-2012","Private, Not-for-profit","Percent","Margins of Error",1.2
"Meriden","0900946520","2009-2013","Total","Number","Employment",29252
"Meriden","0900946520","2009-2013","Total","Number","Margins of Error",728
"Meriden","0900946520","2009-2013","Self-Employed, Incorporated","Percent","Employment",1.4
"Meriden","0900946520","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",0.5
"Meriden","0900946520","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",4.5
"Meriden","0900946520","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",0.8
"Meriden","0900946520","2009-2013","Government","Percent","Employment",11.4
"Meriden","0900946520","2009-2013","Government","Percent","Margins of Error",1.3
"Meriden","0900946520","2009-2013","Private, Profit","Percent","Employment",73.3
"Meriden","0900946520","2009-2013","Private, Profit","Percent","Margins of Error",2
"Meriden","0900946520","2009-2013","Private, Not-for-profit","Percent","Employment",9.4
"Meriden","0900946520","2009-2013","Private, Not-for-profit","Percent","Margins of Error",1.3
"Meriden","0900946520","2010-2014","Total","Number","Employment",28820
"Meriden","0900946520","2010-2014","Total","Number","Margins of Error",865
"Meriden","0900946520","2010-2014","Self-Employed, Incorporated","Percent","Employment",1.4
"Meriden","0900946520","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Meriden","0900946520","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",4.3
"Meriden","0900946520","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",0.8
"Meriden","0900946520","2010-2014","Government","Percent","Employment",11
"Meriden","0900946520","2010-2014","Government","Percent","Margins of Error",1.3
"Meriden","0900946520","2010-2014","Private, Profit","Percent","Employment",73.4
"Meriden","0900946520","2010-2014","Private, Profit","Percent","Margins of Error",2
"Meriden","0900946520","2010-2014","Private, Not-for-profit","Percent","Employment",9.9
"Meriden","0900946520","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1.6
"Meriden","0900946520","2011-2015","Total","Number","Employment",29300
"Meriden","0900946520","2011-2015","Total","Number","Margins of Error",996
"Meriden","0900946520","2011-2015","Self-Employed, Incorporated","Percent","Employment",1.5
"Meriden","0900946520","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",0.5
"Meriden","0900946520","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",5.4
"Meriden","0900946520","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1
"Meriden","0900946520","2011-2015","Government","Percent","Employment",12
"Meriden","0900946520","2011-2015","Government","Percent","Margins of Error",1.3
"Meriden","0900946520","2011-2015","Private, Profit","Percent","Employment",71.3
"Meriden","0900946520","2011-2015","Private, Profit","Percent","Margins of Error",2.1
"Meriden","0900946520","2011-2015","Private, Not-for-profit","Percent","Employment",9.8
"Meriden","0900946520","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.5
"Meriden","0900946520","2012-2016","Total","Number","Employment",29636
"Meriden","0900946520","2012-2016","Total","Number","Margins of Error",1098
"Meriden","0900946520","2012-2016","Self-Employed, Incorporated","Percent","Employment",2.2
"Meriden","0900946520","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",0.8
"Meriden","0900946520","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",6
"Meriden","0900946520","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1
"Meriden","0900946520","2012-2016","Government","Percent","Employment",12.5
"Meriden","0900946520","2012-2016","Government","Percent","Margins of Error",1.5
